pin14,pin10,address,demolition_probability,land_ratio,land_val,building_val,land_val_change_pct,building_val_change_pct,building_age,underbuilt_ratio,violation_count_5yr,is_vacant,in_tax_sale,community_area,zone_class,property_class,char_ext_wall,is_llc_owner,nearby_demo_count_2yr,nearby_new_construction_count,years_since_renovation,renovation_investment,lot_size_sf,sale_year,sale_price,sale_price_to_assessed_ratio
13363030080000,1336303008,1931 N WHIPPLE ST,0.9890053868293762,0.4839622641509434,25650.0,27350.0,0.7647058823529411,-0.1213698278077615,122.0,0.33372319688109164,0.0,0.0,0.0,Logan Square,RS-3,2-11,Frame,0,8.0,11.0,99.0,0.0,5700.0,2023.0,515000.0,9.716981132075471
20184020330000,2018402033,5926 S HONORE ST,0.9889770150184631,0.5525714285714286,1934.0,1566.0,0.0,-0.7471338608105926,110.0,0.37335722819593786,6.0,0.0,1.0,West Englewood,RS-3,2-03,Frame,0,2.0,0.0,99.0,0.0,2976.0,nan,nan,nan
13241010170000,1324101017,3907 N TROY ST,0.9889509081840515,0.48822916666666666,23435.0,24565.0,1.2728154398215499,0.2935755660874144,121.0,0.2252092075006519,0.0,0.0,0.0,Irving Park,RS-3,2-02,Frame,1,14.0,15.0,99.0,0.0,4687.0,nan,nan,nan
20173170140000,2017317014,6123 S JUSTINE ST,0.9889236092567444,0.7084095063985375,1550.0,638.0,-0.3333333333333333,-0.8198757763975155,123.0,0.3627240143369176,6.0,0.0,1.0,West Englewood,RS-3,2-03,Frame,0,8.0,0.0,99.0,0.0,3100.0,nan,nan,nan
14322270110000,1432227011,2035 N FREMONT ST,0.9889116287231445,0.49421811740890687,39063.0,39977.0,0.13637818181818182,-0.21356205614463045,133.0,0.5381333333333334,0.0,0.0,0.0,Lincoln Park,RT-4,2-11,Frame,1,33.0,21.0,99.0,0.0,3125.0,nan,nan,nan
13252290340000,1325229034,2844 N ELSTON AVE,0.9888611435890198,0.37057679537045823,15625.0,26539.0,0.7544352122164832,-0.05150107219442459,133.0,0.2992,2.0,0.0,0.0,Avondale,B3-1,2-03,Frame,1,6.0,8.0,99.0,0.0,3125.0,nan,nan,nan
14322220200000,1432222020,2048 N SEMINARY AVE,0.9888443350791931,0.4305555555555556,38750.0,51250.0,0.13636363636363635,0.4743958573072497,136.0,0.4336021505376344,0.0,0.0,0.0,Lincoln Park,RT-4,2-11,Masonry,1,19.0,16.0,99.0,0.0,3100.0,nan,nan,nan
21311120150000,2131112015,8041 S COLFAX AVE,0.98883455991745,0.5208333333333334,3125.0,2875.0,0.0,-0.6082572557569151,115.0,0.256,7.0,0.0,1.0,South Chicago,RT-4,2-02,Frame,0,1.0,1.0,99.0,0.0,3125.0,nan,nan,nan
20171100370000,2017110037,5628 S BISHOP ST,0.9888312816619873,0.6616666666666666,1985.0,1015.0,-0.022648941408173313,-0.7171914182223461,126.0,0.3128888888888889,7.0,0.0,1.0,West Englewood,RS-3,2-02,Frame,0,3.0,1.0,99.0,0.0,3125.0,nan,nan,nan
14203090240000,1420309024,3432 N GREENVIEW AVE,0.9888163805007935,0.6318793314309009,69750.0,40635.0,1.34375,-0.43814554152897417,128.0,0.39406041986687146,0.0,0.0,0.0,Lake View,RT-3.5,2-04,Frame,0,21.0,27.0,99.0,0.0,4650.0,2023.0,315000.0,2.8536485935589075
14292230440000,1429223044,1100 W WOLFRAM ST,0.9888030886650085,0.7001026817266532,52500.0,22489.0,1.5735294117647058,-0.4984611953612846,131.0,0.16666666666666666,0.0,0.0,0.0,Lake View,RM-5,2-11,Masonry,1,10.0,17.0,99.0,0.0,3000.0,nan,nan,nan
17082460080000,1708246008,1153 W GRAND AVE,0.9887115955352783,0.32142857142857145,22500.0,47500.0,0.7647058823529411,0.23405471408900783,105.0,0.16,32.0,0.0,0.0,West Town,B2-3,2-11,Masonry,1,13.0,15.0,99.0,0.0,3750.0,2023.0,750400.0,10.72
20213270320000,2021327032,7050 S EGGLESTON AVE,0.9886852502822876,0.2093846153846154,2722.0,10278.0,0.0003675119441381845,6.9489559164733175,115.0,0.919512777645092,6.0,0.0,1.0,Englewood,RT-4,2-11,Masonry,0,5.0,0.0,99.0,0.0,4187.0,nan,nan,nan
13251170400000,1325117040,3014 N CALIFORNIA AVE,0.9886125922203064,0.3752542372881356,22140.0,36860.0,0.7544971867818369,-0.16274843838727995,97.0,0.6165311653116532,0.0,0.0,0.0,Avondale,B3-1,2-11,Frame,1,5.0,15.0,99.0,0.0,4428.0,2023.0,300000.0,5.084745762711864
13352280110000,1335228011,3507 W DICKENS AVE,0.9885241389274597,0.24868421052631579,9450.0,28550.0,1.0691920297788482,0.19756711409395974,135.0,0.31040564373897706,0.0,0.0,0.0,Logan Square,RS-3,2-02,Frame,1,5.0,11.0,99.0,0.0,3150.0,nan,nan,nan
14191010280000,1419101028,3926 N OAKLEY AVE,0.9885106086730957,0.6148516422489025,46500.0,29128.0,1.4038461538461537,-0.4455611390284757,124.0,0.75,0.0,0.0,0.0,North Center,RS-3,2-11,Frame,1,18.0,25.0,99.0,0.0,3720.0,nan,nan,nan
20204040110000,2020404011,6729 S MORGAN ST,0.9884483218193054,0.5449820071971212,1363.0,1138.0,-0.41046712802768165,-0.7385711003905353,135.0,0.635744404800519,7.0,0.0,1.0,Englewood,RS-3,2-11,Frame,0,10.0,3.0,99.0,0.0,3083.0,nan,nan,nan
13241190300000,1324119030,3746 N SACRAMENTO AVE,0.9884119629859924,0.39699679861781595,15625.0,23733.0,1.2727272727272727,0.10596952327694674,125.0,0.32355555555555554,0.0,0.0,0.0,Irving Park,RS-3,2-02,Frame,1,9.0,10.0,99.0,0.0,3125.0,nan,nan,nan
14173090380000,1417309038,1412 W WARNER AVE,0.9883795976638794,0.661904873973312,56250.0,28732.0,0.5517241379310345,-0.35432256904649545,123.0,0.38684444444444444,0.0,0.0,0.0,Lake View,RS-3,2-11,Frame,1,7.0,8.0,99.0,0.0,6250.0,nan,nan,nan
14301080280000,1430108028,3039 N CLYBOURN AVE,0.9883165955543518,0.6026785714285714,33750.0,22250.0,1.0833333333333333,-0.28642442513068855,125.0,0.4148148148148148,0.0,0.0,0.0,North Center,RT-4,2-11,Masonry,1,16.0,13.0,99.0,0.0,3375.0,nan,nan,nan
14181260180000,1418126018,2152 W SUNNYSIDE AVE,0.9882628321647644,0.5135625,41085.0,38915.0,0.875,-0.16559457952742399,125.0,0.40111963003529266,0.0,0.0,0.0,Lincoln Square,RS-3,2-05,Frame,1,10.0,18.0,99.0,0.0,4565.0,nan,nan,nan
16122030290000,1612203029,2436 W SUPERIOR ST,0.9882130026817322,0.3289210087809627,17568.0,35843.0,0.7647413360120543,-0.07804100110605242,146.0,0.6386612021857923,0.0,0.0,0.0,West Town,RS-3,2-11,Masonry,1,11.0,13.0,99.0,0.0,2928.0,2023.0,660000.0,12.357005111306659
14292160340000,1429216034,2944 N SHEFFIELD AVE,0.9880874156951904,0.5468745312546874,54688.0,45313.0,1.5735529411764706,-0.25187802341131604,125.0,0.217728,0.0,0.0,0.0,Lake View,RM-5.5,2-03,Frame,1,11.0,18.0,16.7,0.0,3125.0,nan,nan,nan
25212200260000,2521220026,108 W 113TH PL,0.988041877746582,0.4166666666666667,1250.0,1750.0,-0.2724097788125728,-0.6208017334777898,122.0,0.5376,12.0,0.0,1.0,Roseland,RS-3,2-11,Frame,0,6.0,0.0,99.0,0.0,3125.0,nan,nan,nan
14324080480000,1432408048,1918 N FREMONT ST,0.9879634380340576,0.6131257970635362,37500.0,23662.0,0.13636363636363635,0.10554595150212587,135.0,0.1786111111111111,0.0,0.0,0.0,Lincoln Park,RT-4,2-05,Frame,1,32.0,23.0,99.0,0.0,3000.0,2022.0,1500000.0,24.525031882541448
14203250420000,1420325042,3244 N SOUTHPORT AVE,0.9879195690155029,0.6042782902952907,45000.0,29469.0,1.34375,-0.3651795523577691,130.0,0.7238095238095238,0.0,0.0,0.0,Lake View,RT-3.5,2-11,Frame,1,22.0,31.0,99.0,0.0,3000.0,nan,nan,nan
